sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;40;99;348;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.7;-1.0;2.865329512893983;8.02292_1.43266_38.10888_4.58453_4.01146_3.4384_37.53582_2.86533;1;

;;;;;;;;;;;;;;;;41;0;122;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.30000000000000004;-1.0;8.94308943089431;10.56911_15.44715_14.63415_5.69106_18.69919_8.94309_17.07317_8.94309;0;
;;;;;;;;;;;;;;;;41;1;27;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.7;-1.0;14.285714285714286;14.28571_14.28571_7.14286_14.28571_21.42857_3.57143_10.71429_14.28571;0;
;;;;;;;;;;;;;;;;41;2;98;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;11.11111111111111;15.15152_9.09091_18.18182_5.05051_22.22222_8.08081_11.11111_11.11111;0;
;;;;;;;;;;;;;;;;41;3;269;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.5;-1.0;4.074074074074074;6.2963_2.59259_38.51852_4.44444_2.96296_5.18519_35.92593_4.07407;1;
;;;;;;;;;;;;;;;;41;4;338;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.7;-1.0;2.949852507374631;28.61357_2.65487_17.40413_2.0649_27.43363_4.12979_14.74926_2.94985;1;
;;;;;;;;;;;;;;;;41;5;77;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.6000000000000001;-1.0;3.8461538461538463;8.97436_14.10256_20.51282_6.41026_11.53846_7.69231_26.92308_3.84615;1;
;;;;;;;;;;;;;;;;41;6;56;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.7;-1.0;3.508771929824561;14.03509_19.29825_17.54386_0.0_14.03509_21.05263_10.52632_3.50877;1;
;;;;;;;;;;;;;;;;41;7;54;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.6000000000000001;-1.0;5.454545454545454;20.0_14.54545_16.36364_1.81818_18.18182_18.18182_5.45455_5.45455;1;
;;;;;;;;;;;;;;;;41;8;843;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.7;-1.0;1.5402843601895735;28.67299_1.4218_18.83886_1.89573_27.25118_2.36967_18.00948_1.54028;1;
;;;;;;;;;;;;;;;;41;9;79;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;13.75;16.25_6.25_16.25_10.0_18.75_6.25_12.5_13.75;0;
;;;;;;;;;;;;;;;;41;10;49;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;18.0;10.0_12.0_6.0_22.0_10.0_8.0_14.0_18.0;0;
;;;;;;;;;;;;;;;;41;11;2228;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;1.7945266935845672;16.33019_23.19426_9.19695_0.89726_17.13773_23.19426_8.25482_1.79453;1;
;;;;;;;;;;;;;;;;41;12;63;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;3.125;17.1875_14.0625_17.1875_1.5625_18.75_10.9375_17.1875_3.125;0;
;;;;;;;;;;;;;;;;41;13;57;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;13.793103448275861;20.68966_5.17241_17.24138_6.89655_24.13793_5.17241_6.89655_13.7931;0;
;;;;;;;;;;;;;;;;41;14;244;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;2.857142857142857;39.18367_3.67347_6.53061_2.04082_36.73469_6.53061_2.44898_2.85714;1;
;;;;;;;;;;;;;;;;41;15;1454;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.09999999999999998;-1.0;1.9243986254295533;22.4055_12.71478_19.93127_1.99313_8.38488_26.52921_6.11684_1.9244;0;
;;;;;;;;;;;;;;;;41;16;457;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;2.183406113537118;40.17467_4.14847_2.83843_1.52838_42.79476_1.74672_4.58515_2.18341;0;
;;;;;;;;;;;;;;;;41;17;39;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.7;-1.0;12.5;17.5_5.0_20.0_7.5_20.0_2.5_15.0_12.5;0;
;;;;;;;;;;;;;;;;41;18;560;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;2.6737967914438503;4.63458_26.20321_16.93405_2.49554_4.45633_26.38146_16.22103_2.6738;0;
;;;;;;;;;;;;;;;;41;19;2113;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.7;-1.0;2.2232734153263953;12.10974_7.94702_29.04447_1.89215_10.17029_10.12299_26.49007_2.22327;1;
;;;;;;;;;;;;;;;;41;20;887;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;1.2387387387387387;22.74775_23.76126_2.7027_1.68919_21.05856_24.88739_1.91441_1.23874;1;
