sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

3;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;E_GREEDY;100;100;true;1.0;1.0;0.1;0.01;1.0;0.01;0.8;0;0;76;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;5.194805194805195;11.68831_3.8961_33.76623_3.8961_6.49351_7.79221_27.27273_5.19481;0;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;0;1;297;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.4;-1.0;8.053691275167786;5.36913_2.34899_35.2349_6.04027_7.71812_1.34228_33.89262_8.05369;0;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;;;;;;;;;;;;;;0;2;174;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;8.0;18.85714_8.0_13.71429_9.14286_20.57143_5.14286_16.57143_8.0;0;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;0;3;26;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;18.51851851851852;14.81481_11.11111_3.7037_29.62963_3.7037_3.7037_14.81481_18.51852;0;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;;;;;;;;;;;;;;0;4;43;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;18.181818181818183;9.09091_6.81818_15.90909_15.90909_13.63636_4.54545_15.90909_18.18182;0;
;LEFT_DOWN;ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;;;;;;;;;;;;;;0;5;155;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;8.333333333333334;15.38462_13.46154_17.94872_4.48718_14.10256_17.94872_8.33333_8.33333;1;
;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;;;;;;;;;;;;;;0;6;397;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;14.57286432160804;16.33166_10.05025_6.53266_19.59799_11.80905_9.29648_11.80905_14.57286;1;
;LEFT_UP;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;0;7;50;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;15.686274509803921;11.76471_5.88235_17.64706_11.76471_17.64706_0.0_19.60784_15.68627;0;
;;ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;0;8;201;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;9.405940594059405;14.35644_8.91089_17.82178_7.42574_18.31683_6.43564_17.32673_9.40594;0;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;;;;;;;;;;;;;;0;9;71;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;9.722222222222221;19.44444_5.55556_16.66667_9.72222_16.66667_6.94444_15.27778_9.72222;0;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;0;10;57;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;8.620689655172415;17.24138_12.06897_13.7931_5.17241_22.41379_10.34483_10.34483_8.62069;0;
